,Account,Compound,Created Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago
179,@Akaadian,-0.296,Mon Apr 16 16:38:08 +0000 2018,0.196,0.804,0.0,@PowerOfEvilLoL Only if u wear no shirt in ur new one,180
180,@Akaadian,0.4404,Thu Apr 19 01:03:48 +0000 2018,0.0,0.256,0.744,@inerolol thanks,181
181,@Akaadian,0.0,Thu Apr 19 00:15:29 +0000 2018,0.0,1.0,0.0,@just9n @chad @C9shroud @Dacchei You guys are so wholesome,182
182,@Akaadian,0.4404,Wed Apr 18 23:44:18 +0000 2018,0.0,0.734,0.266,Felt better and got pulled out sry bros https://t.co/UlD8cvOuzk,183
183,@Akaadian,0.0,Wed Apr 18 22:44:06 +0000 2018,0.0,1.0,0.0,@ThixNation @TeamLiquid Grind lord thix,184
184,@Akaadian,-0.4404,Wed Apr 18 20:59:50 +0000 2018,0.326,0.674,0.0,@C9Goldenglue This vacation looks nutty Tfti :(,185
185,@Akaadian,-0.586,Wed Apr 18 19:50:55 +0000 2018,0.248,0.629,0.122,"woke up feeling not so good today, think i might stream later or not at all sorry dudes :(",186
186,@Akaadian,0.4295,Wed Apr 18 02:03:14 +0000 2018,0.055,0.774,0.171,"thanks for watching guys! Had a good time shaking off the rust, had some games where i REALLY ran it down but tried… https://t.co/7CsAWJpv08",187
187,@Akaadian,-0.0258,Wed Apr 18 00:28:41 +0000 2018,0.262,0.483,0.255,@daniel09ali @YassuoNA @LiquidDominate that's the perfect age range wtf?,188
188,@Akaadian,0.8189,Tue Apr 17 23:52:34 +0000 2018,0.0,0.571,0.429,@YassuoNA @LiquidDominate tfw this reply has more likes than my pictures ROFL,189
189,@Akaadian,0.0,Tue Apr 17 22:10:49 +0000 2018,0.0,1.0,0.0,My little sister had her senior prom recently. Here’s some pictures of her and I and my little brother! https://t.co/D9KZmgB5Vb,190
190,@Akaadian,0.0,Tue Apr 17 21:44:57 +0000 2018,0.0,1.0,0.0,@Timkiro thats a very tim thing to do,191
191,@Akaadian,0.0,Tue Apr 17 18:22:58 +0000 2018,0.0,1.0,0.0,https://t.co/TJn2zZRL8S https://t.co/k1fhzhZou0,192
192,@Akaadian,0.7178,Tue Apr 17 05:32:10 +0000 2018,0.0,0.684,0.316,"@CG_Sun @JoshMabreyBaby Thanks dude I will reference this in my workout regimen, really liked the poses",193
193,@Akaadian,0.2244,Tue Apr 17 00:21:56 +0000 2018,0.135,0.76,0.106,"gonna hit a short stream before i leave again, gonna shake off the rust! Get ready for a lot more streaming from me… https://t.co/jIs4HqRS7e",194
194,@Akaadian,0.34,Mon Apr 16 23:15:36 +0000 2018,0.144,0.556,0.3,@GodEkko @AllorimLoL Definitely One Hundred Percent Serious.,195
