,Account,Compound,Created Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago
299,@Bjergsen,0.4199,Fri Apr 13 01:22:49 +0000 2018,0.0,0.843,0.157,RT @TeamSoloMid: . @lolHauntzer out here lookin like a model ? check out https://t.co/LfBKTlcCQc to get the hoodie! https://t.co/OEOihAq3Ta,300
300,@LoLZven,0.636,Wed Apr 18 18:53:15 +0000 2018,0.0,0.809,0.191,"RT @LoLZven: We're giving away my @LogitechG setup!

To enter the giveaway -- follow me, follow @TeamSoloMid on twitter, RT and like this p…",301
301,@LoLZven,0.4003,Tue Apr 17 21:31:26 +0000 2018,0.0,0.876,0.124,"We're giving away my @LogitechG setup!

To enter the giveaway -- follow me, follow @TeamSoloMid on twitter, RT and… https://t.co/S5Kni9GGs3",302
302,@LoLZven,0.0,Fri Mar 23 05:19:29 +0000 2018,0.0,1.0,0.0,@parthenaan TSSMMMMMMMMMMMMMMMMMM,303
303,@LoLZven,0.0,Wed Mar 21 03:38:07 +0000 2018,0.0,1.0,0.0,@TSMShady XDDDDDD,304
304,@LoLZven,0.0,Mon Mar 19 19:54:24 +0000 2018,0.0,1.0,0.0,@G2Perkz Lets raid the local kebab shop when I'm back,305
305,@LoLZven,0.617,Mon Mar 19 18:56:37 +0000 2018,0.0,0.777,0.223,RT @konkwon: I will be looking to join a team for summer split. Barely got to play competitive in 2017 despite being around and I am eager…,306
306,@LoLZven,0.625,Mon Mar 19 04:04:56 +0000 2018,0.0,0.709,0.291,"I am so fucking HYPED RIGHT NOW!! TSSSMMMMM!!

GG CG and TL!",307
307,@LoLZven,0.0,Sun Mar 18 22:04:21 +0000 2018,0.0,1.0,0.0,@RiotDeficio Lord Svenningsen and Senor Mithy,308
308,@LoLZven,0.8805,Sun Mar 18 21:59:13 +0000 2018,0.0,0.705,0.295,"WOOO!!! TSSMMMM!! 
So happy with our second half of the split :D

Time to watch the rest of the games and wait for… https://t.co/l0PtoEX0v4",309
309,@LoLZven,-0.296,Sun Mar 18 18:09:48 +0000 2018,0.087,0.913,0.0,"RT @G2Perkz: hahahaha @Expect74 and @Tricklol12 - no job and relegation

mid ad &amp; sup = all in playoff

last year koreans were holding us d…",310
310,@LoLZven,0.9088,Sun Mar 18 00:45:04 +0000 2018,0.0,0.636,0.364,"Not the most exciting game ever but I am very happy we made playoffs, our progress in the second half has been grea… https://t.co/udNmN0lnVa",311
311,@LoLZven,-0.4199,Fri Mar 16 20:55:05 +0000 2018,0.128,0.872,0.0,"RT @TeamSoloMid: The team strikes back against TL and C9 in the latest episode of TSM: Legends!

?? https://t.co/5KQju6t19x https://t.co/wj…",312
312,@LoLZven,-0.3252,Fri Mar 16 05:51:37 +0000 2018,0.206,0.794,0.0,"@LewisFarleyFilm @mithytsm @MikeYeunglol Lewis, I cannot guruantee your safety at lan",313
313,@LoLZven,0.4588,Mon Mar 12 22:00:28 +0000 2018,0.0,0.75,0.25,"oi oi oi my lords, we are live :)

https://t.co/ziYMt49Kxd",314
314,@LoLZven,0.0,Mon Mar 12 19:35:18 +0000 2018,0.0,1.0,0.0,@Sneaky @estherlynnhhj Legend,315
315,@LoLZven,0.3818,Mon Mar 12 19:27:04 +0000 2018,0.0,0.755,0.245,"RT @Sneaky: Dark Elementalist Lux ?
Photo credit: @estherlynnhhj https://t.co/g8HG3soZTT",316
316,@LoLZven,0.0,Sun Mar 11 23:57:46 +0000 2018,0.0,1.0,0.0,@GiliusLoL Danke bro,317
317,@LoLZven,-0.2867,Sun Mar 11 22:42:57 +0000 2018,0.314,0.461,0.225,"T S motherfucking M

One step closer to playoffs, GG C9!",318
318,@LoLZven,0.0,Sun Mar 11 08:11:31 +0000 2018,0.0,1.0,0.0,@jyzres I can sign it tomorrow if you are at the Arena,319
319,@LoLZven,0.1343,Sun Mar 11 02:12:03 +0000 2018,0.247,0.458,0.295,"TSMMMMMMMMMMMMM

The crowd was insane today! GG",320
320,@LoLZven,0.636,Wed Apr 18 18:53:15 +0000 2018,0.0,0.809,0.191,"RT @LoLZven: We're giving away my @LogitechG setup!

To enter the giveaway -- follow me, follow @TeamSoloMid on twitter, RT and like this p…",321
321,@LoLZven,0.4003,Tue Apr 17 21:31:26 +0000 2018,0.0,0.876,0.124,"We're giving away my @LogitechG setup!

To enter the giveaway -- follow me, follow @TeamSoloMid on twitter, RT and… https://t.co/S5Kni9GGs3",322
322,@LoLZven,0.0,Fri Mar 23 05:19:29 +0000 2018,0.0,1.0,0.0,@parthenaan TSSMMMMMMMMMMMMMMMMMM,323
323,@LoLZven,0.0,Wed Mar 21 03:38:07 +0000 2018,0.0,1.0,0.0,@TSMShady XDDDDDD,324
